,Entropy
graph_08_mu_0_4_node_145,0.031242425
graph_08_mu_0_4_node_146,0.07386265
graph_08_mu_0_4_node_147,0.052393693
graph_08_mu_0_4_node_148,0.031844217
graph_08_mu_0_4_node_149,0.09298261
graph_08_mu_0_4_node_150,0.07386265
graph_08_mu_0_4_node_151,0.035424925
graph_08_mu_0_4_node_152,0.042912237
graph_08_mu_0_4_node_153,0.01952759
graph_08_mu_0_4_node_154,0.06471663
graph_08_mu_0_4_node_155,0.065159105
graph_08_mu_0_4_node_156,0.04037871
graph_08_mu_0_4_node_157,0.07386265
graph_08_mu_0_4_node_158,0.04139926
graph_08_mu_0_4_node_159,0.06358216
graph_08_mu_0_4_node_160,0.031844217
graph_08_mu_0_4_node_161,0.09094644
graph_08_mu_0_4_node_162,0.035424925
graph_08_mu_0_4_node_163,0.039570507
graph_08_mu_0_4_node_164,0.07970326
graph_08_mu_0_4_node_165,0.09298261
graph_08_mu_0_4_node_166,0.029809939
graph_08_mu_0_4_node_167,0.048707243
graph_08_mu_0_4_node_168,0.052393693
graph_08_mu_0_4_node_169,0.0910267
graph_08_mu_0_4_node_170,0.045375578
graph_08_mu_0_4_node_171,0.045375578
graph_08_mu_0_4_node_172,0.018014599
graph_08_mu_0_4_node_173,0.034254324
graph_08_mu_0_4_node_174,0.01952759
graph_08_mu_0_4_node_175,0.052393693
graph_08_mu_0_4_node_176,0.03415626
graph_08_mu_0_4_node_177,0.09298261
graph_08_mu_0_4_node_178,0.037666604
graph_08_mu_0_4_node_179,0.03746712
graph_08_mu_0_4_node_180,0.018014599
graph_08_mu_0_4_node_181,0.031844217
graph_08_mu_0_4_node_182,0.029809939
graph_08_mu_0_4_node_183,0.04037871
graph_08_mu_0_4_node_184,0.035424925
graph_08_mu_0_4_node_185,0.048707243
graph_08_mu_0_4_node_186,0.06358216
graph_08_mu_0_4_node_187,0.035424925
graph_08_mu_0_4_node_188,0.03186784
graph_08_mu_0_4_node_189,0.034306888
graph_08_mu_0_4_node_190,0.036789156
graph_08_mu_0_4_node_191,0.048707243
graph_08_mu_0_4_node_192,0.03746712
graph_08_mu_0_4_node_193,0.042912237
graph_08_mu_0_4_node_194,0.04037871
graph_08_mu_0_4_node_195,0.037507508
graph_08_mu_0_4_node_196,0.046049498
graph_08_mu_0_4_node_197,0.04037871
graph_08_mu_0_4_node_198,0.09068945
graph_08_mu_0_4_node_199,0.14557773
graph_08_mu_0_4_node_200,0.081668064
graph_08_mu_0_4_node_201,0.04139926
graph_08_mu_0_4_node_202,0.045439154
graph_08_mu_0_4_node_203,0.02115097
graph_08_mu_0_4_node_204,0.031242425
graph_08_mu_0_4_node_205,0.045375578
graph_08_mu_0_4_node_206,0.05216747
graph_08_mu_0_4_node_207,0.03746712
graph_08_mu_0_4_node_208,0.045439154
graph_08_mu_0_4_node_209,0.04256553
graph_08_mu_0_4_node_210,0.04139926
graph_08_mu_0_4_node_211,0.036900293
graph_08_mu_0_4_node_212,0.042912237
graph_08_mu_0_4_node_213,0.036900293
graph_08_mu_0_4_node_214,0.05216747
graph_08_mu_0_4_node_215,0.03415626
graph_08_mu_0_4_node_216,0.052393693
graph_08_mu_0_4_node_217,0.042912237
graph_08_mu_0_4_node_218,0.0797097
graph_08_mu_0_4_node_219,0.035424925
graph_08_mu_0_4_node_220,0.02115097
graph_08_mu_0_4_node_221,0.031356435
graph_08_mu_0_4_node_222,0.027389826
graph_08_mu_0_4_node_223,0.09120654
graph_08_mu_0_4_node_224,0.045375578
graph_08_mu_0_4_node_225,0.04606568
graph_08_mu_0_4_node_226,0.065159105
graph_08_mu_0_4_node_227,0.01952759
graph_08_mu_0_4_node_228,0.029809939
graph_08_mu_0_4_node_229,0.04037871
graph_08_mu_0_4_node_230,0.022507703
graph_08_mu_0_4_node_231,0.01952759
graph_08_mu_0_4_node_232,0.048707243
graph_08_mu_0_4_node_233,0.07659676
graph_08_mu_0_4_node_234,0.037666604
graph_08_mu_0_4_node_235,0.05216747
graph_08_mu_0_4_node_236,0.036900293
graph_08_mu_0_4_node_237,0.031844217
graph_08_mu_0_4_node_238,0.07999733
graph_08_mu_0_4_node_239,0.06672212
graph_08_mu_0_4_node_240,0.07386265
graph_08_mu_0_4_node_241,0.031844217
graph_08_mu_0_4_node_242,0.042912237
graph_08_mu_0_4_node_243,0.056119423
graph_08_mu_0_4_node_244,0.13391513
graph_08_mu_0_4_node_245,0.04056113
graph_08_mu_0_4_node_246,0.039570507
graph_08_mu_0_4_node_247,0.037666604
graph_08_mu_0_4_node_248,0.01952759
graph_08_mu_0_4_node_249,0.031844217
graph_08_mu_0_4_node_250,0.045439154
graph_08_mu_0_4_node_251,0.03186784
graph_08_mu_0_4_node_252,0.04606568
graph_08_mu_0_4_node_253,0.042912237
graph_08_mu_0_4_node_254,0.0346055
graph_08_mu_0_4_node_255,0.03746712
graph_08_mu_0_4_node_256,0.056119423
graph_08_mu_0_4_node_257,0.04606568
graph_08_mu_0_4_node_258,0.06672212
graph_08_mu_0_4_node_259,0.018014599
graph_08_mu_0_4_node_260,0.09044388
graph_08_mu_0_4_node_261,0.13002403
graph_08_mu_0_4_node_262,0.034254324
graph_08_mu_0_4_node_263,0.13671349
graph_08_mu_0_4_node_264,0.034254324
graph_08_mu_0_4_node_265,0.04056113
graph_08_mu_0_4_node_266,0.018014599
graph_08_mu_0_4_node_267,0.052393693
graph_08_mu_0_4_node_268,0.11794136
graph_08_mu_0_4_node_269,0.065159105
graph_08_mu_0_4_node_270,0.037666604
graph_08_mu_0_4_node_271,0.056119423
graph_08_mu_0_4_node_272,0.036789156
graph_08_mu_0_4_node_273,0.036789156
graph_08_mu_0_4_node_274,0.04056113
graph_08_mu_0_4_node_275,0.0346055
graph_08_mu_0_4_node_276,0.037666604
graph_08_mu_0_4_node_277,0.07386265
graph_08_mu_0_4_node_278,0.079855904
graph_08_mu_0_4_node_279,0.11797991
graph_08_mu_0_4_node_280,0.05216747
graph_08_mu_0_4_node_281,0.036789156
graph_08_mu_0_4_node_282,0.023977272
graph_08_mu_0_4_node_283,0.037666604
graph_08_mu_0_4_node_284,0.085731946
graph_08_mu_0_4_node_285,0.031844217
graph_08_mu_0_4_node_286,0.048707243
graph_08_mu_0_4_node_287,0.035424925
graph_08_mu_0_4_node_288,0.029809939
graph_08_mu_0_4_node_289,0.048707243
graph_08_mu_0_4_node_290,0.029809939
graph_08_mu_0_4_node_291,0.07386265
graph_08_mu_0_4_node_292,0.031844217
graph_08_mu_0_4_node_293,0.036789156
graph_08_mu_0_4_node_294,0.06736904
graph_08_mu_0_4_node_295,0.022507703
graph_08_mu_0_4_node_296,0.04056113
graph_08_mu_0_4_node_297,0.03746712
graph_08_mu_0_4_node_298,0.065159105
graph_08_mu_0_4_node_299,0.09298261
graph_08_mu_0_4_node_300,0.03186784
graph_08_mu_0_4_node_301,0.03186784
graph_08_mu_0_4_node_302,0.029809939
graph_08_mu_0_4_node_303,0.03186784
graph_08_mu_0_4_node_304,0.03415626
graph_08_mu_0_4_node_305,0.04056113
graph_08_mu_0_4_node_306,0.045439154
graph_08_mu_0_4_node_307,0.045439154
graph_08_mu_0_4_node_308,0.04037871
graph_08_mu_0_4_node_309,0.037507508
graph_08_mu_0_4_node_310,0.03186784
graph_08_mu_0_4_node_311,0.029809939
graph_08_mu_0_4_node_312,0.03415626
graph_08_mu_0_4_node_313,0.045375578
graph_08_mu_0_4_node_314,0.052393693
graph_08_mu_0_4_node_315,0.09298261
graph_08_mu_0_4_node_316,0.031844217
graph_08_mu_0_4_node_317,0.04139926
graph_08_mu_0_4_node_318,0.029809939
graph_08_mu_0_4_node_319,0.036789156
graph_08_mu_0_4_node_320,0.03186784
graph_08_mu_0_4_node_321,0.045375578
graph_08_mu_0_4_node_322,0.03746712
graph_08_mu_0_4_node_323,0.034306888
graph_08_mu_0_4_node_324,0.041302904
graph_08_mu_0_4_node_325,0.027389826
graph_08_mu_0_4_node_326,0.049865622
graph_08_mu_0_4_node_327,0.05286989
graph_08_mu_0_4_node_328,0.029809939
graph_08_mu_0_4_node_329,0.037666604
graph_08_mu_0_4_node_330,0.09298261
graph_08_mu_0_4_node_331,0.01952759
